URL,Date,Title,Author,Content
https://news.cnyes.com/news/id/4490656?exp=a,2020/06/10 22:22,疫情+降息效應拖累 15家金控前5月獲利不到1500億元 年減4%,鉅亨網記者郭幸宜 台北,"新冠肺炎與降息效逐漸顯現，上市櫃金控前 5 月獲利普遍較去年同期減少，合計 15 家金控今年前 5 月稅後純益不到 1500 億元，僅 1462.79 億元，較去年同期減少 4%。
為降低疫情對產業衝擊，全球央行先後祭出降息因應，而這波降息潮也讓銀行利息收益縮水進而衝擊獲利表現，15 家上市櫃金控中僅富邦金、國泰金、中信金、玉山金與合庫金獲利較前月成長，其餘都難逃衰退命運。
富邦金 5 月稅後純益 61.84 億元，前 5 月稅後純益 343.48 億元，較去年同期增加 44%，每股稅後純益 3.36 元，不論是單月獲利、累積獲利或是每股稅後純益全都保持領先地位，持續穩坐三冠王寶座。
核心子公司富邦人壽受惠於投資收益增加，帶動單月稅後純益 29.12 億元，累計前 5 月稅後純益 205.71 億元，較去年同期大增 1.2 倍。
國泰金單月稅後純益 57.4 億元，前 5 月稅後純益 333.5 億元，每股稅後純益 2.5 元，核心子公司國壽 5 月稅後純益 31.5 億元，累計稅後 198.8 億元，獲利表現為歷年同期第三高。
中信金單月稅後純益 33.55 億元，累計稅後純益 186.96 億元、較去年同期增加 5%，並以每股稅後純益 0.96 元，獲利排名第三。
中信金表示，銀行與保險兩具獲利引擎獲利動能穩健，其中保險受惠於資本市場回穩、負債成本下降，帶動投資收益增加；銀行在存放款業務動能穩健成長，加上債券殖利率下降挹注投資收益表現，進而推升金控獲利成長。
公股金控因肩負紓困貸款政策性任務，加上加碼降息與授信提存等因素，包括兆豐金、第一金、華南金等 5 月獲利縮水衰退，累計前 5 月獲利也較去年同期縮水。
兆豐金單月稅後純益 29.91 億元，較前月減少 13%，累計今年前 5 月兆豐金稅後純益 83.58 億元，較去年同期大減逾 3 成，每股稅後純益 (EPS)0.61 元。
進一步分析核心子公司兆豐銀行單月稅後純益 25.71 億元，其他子公司票券、證券與產險也有盈餘進帳。
第一金 5 月稅後純益 18.44 億元、較前月減少 16%，累計前 5 月稅後純益 69.86 億元，也較去年同期減少 13.4%、每股稅後純益 (EPS)0.56 元。
第一金表示，5 月收益雖有手續費增長挹注，但全球降息導致銀行利息收入縮減效應正逐漸浮現中，加上資本市場持續震盪影響財務操作績效，進而影響銀行獲利表現，加上投信、證券獲利也同步衰退，進而影響金控收入。



"
https://news.cnyes.com/news/id/4490643?exp=a,2020/06/10 22:18,李中旺稱明泰將大裁員數百人 公司駁斥：不實消息,鉅亨網記者彭昱文 台北,"網通廠明泰 (3380-TW) 前董座李中旺今 (10) 日指稱，佳世達 (2352-TW) 入主明泰後，要大規模裁員數百人，對此，明泰晚間發出聲明駁斥，強調是不實消息，近期絕無人力精簡計畫，至於先前的人力調整，均依法合規辦理，李中旺擔任董事長期間，都知情並親自批准。
明泰表示，因年初受到疫情 (COVID-19) 封城影響，中國工廠供應鏈面臨斷料及人員無法回到工作崗位，導致第一季營運結果虧損，擔憂疫情的不確定性，及世界整體經濟環境的悲觀預測，為求謹慎，樽節開支，於公司內部月經營會議討論因應。
明泰進一步表示，有鑑於許多全球性大公司已即時作出人力調整，順應產業環境變化，同時進行組職定期優化與績效評估，經過明泰經營團隊取得共識，以組織調整來保持競爭力。
據了解，明泰先前人力調整佔公司總人數 3.5%，其中台灣地區員工 80 人、海外地區員工 87 人，明泰強調，台灣地區員工調整均有提報科技部新竹科學園區管理局，一切流程均依法合規辦理相關事宜。
最後，明泰更強調，李中旺對上述人力精簡計劃知之甚詳並親自批准，且現階段並無進一步之人力精簡計畫，呼籲李中旺勿試圖再散佈不實之訊息，企圖影響員工，此舉不僅傷害員工，亦有違背其身為公司董事所背負之義務。
"
https://news.cnyes.com/news/id/4490615?exp=a,2020/06/10 21:36,台股震盪炒熱當沖交易 5月當沖交易比重突破3成創新高,鉅亨網記者郭幸宜 台北,"台股隨國際股市震盪進而拉抬當沖成交比重，據證交所最新統計，5 月當沖成交值占比超過 3 成，每天平均約有 7 萬餘戶參與當沖，不論成交值與交易戶數雙創歷史新高。
過去台股單日當沖成交值比重也曾突破 3 成，但還沒出現過單月當沖平均值超過 3 成的紀錄，法人表示，當沖交易值與戶數衝高，研判應與疫情使得股市震盪有關，各類股與個股在資金輪動下，投資人傾向「有賺就跑」的短線交易。
此外，5 月以定期定額投資台股的金額也持續攀升，證交所表示，5 月定期定額扣款金額共 12.28 億元，較 4 月定期定額總值 11.25 億元增加，創歷史新高，反映投資人在市場震盪之際，較傾向透過定期定額方式投資台股。
在內外資比重部分，5 月台股遭外資賣超 1517 億元，進而帶動外資交易比重，單月交易比重從 4 月的 25.17% 上升至 26.3%；至於自然人交易比重則從前月 63.58% 微幅下降至 63.42%。
"
https://news.cnyes.com/news/id/4490627?exp=a,2020/06/10 21:34,振樺電結盟聯想奪大型專案 效益估Q3顯現,鉅亨網記者彭昱文 台北,"POS 大廠振樺電 (8114-TW) 董事長陳茂強透露，與聯想合資公司目前已帶入 2-3 個大型專案，第 3 季就能看到成績，而振樺電今日股東會完成董事改選，祥碩 () 董事長沈振來也進入董事會。
振樺電與聯想共同成立合資公司 5 月營運，其中聯想持股 65%、振樺電持股 35%，陳茂強指出，聯想已陸續帶入零售、自助結帳 2-3 個大型專案，數量達萬台，產品已經完成測試，效益第 3 季顯現。
陳茂強指出，聯想在電腦、筆電已占有相當大份額，未來希望擴大新事業版圖，而振樺電在通路跟終端客戶接觸較少，聯想振樺合資公司將扮演整合商角色，協助打入全球大型企業。
針對疫情干擾，陳茂強認為，第 3 季仍有影響，後續要看解封後疫情狀況而定，但但疫情衝擊來得快、去得也快，中長期展望審慎樂觀，振樺電可望領先同業重返成長軌道。
"
https://news.cnyes.com/news/id/4490613?exp=a,2020/06/10 21:34,佳世達打造聯護管理系統應用平台 推智慧照護落地應用,鉅亨網記者彭昱文 台南,"佳世達 (2352-TW) 智慧解決方案拓展至智慧照護，與台南市打造「聯護管理系統應用平台」，成功帶動健康社會福利產業的發展，佳世達表示，未來也將鎖定智慧醫院、遠距健康、長期照護等領域。
佳世達智能方案事業群總經理李昌鴻指出，居家照護在費用核銷、人員管理、執行效率等，都十分耗時費力，聯護管理系統應用平台將繁複程序簡化，包括照護系統整合、智慧社福管理、智能數據服務應用、長照物聯網 (IoT) 應用、智慧客服管理及電子採購等六大平台，從派工、派案，到結案核銷，及時處理，改善冗長流程，節省 75% 的人工作業時間。
其中，「智慧居家」與「生理訊號量測」，是聯護管理系統應用平台的兩大亮點，李昌鴻解釋，智慧居家透過智能管家、動作感測器等，即時異常警示，爭取黃金時間，預防意外。「生理訊號管理」則是搭配智慧藥盒、智能手環，彙整健康大數據，連結至雲端資料庫，精準掌握被照護者的生理、心理變化
展望未來，李昌鴻表示，聯護管理系統應用平台同時關照 B2G/B2B/B2C 的三方需求，在設計時全面涵蓋政府管理、機構效率、使用者友善等面向，導入智慧化管理，而經過與台南市 2 年落地合作也獲得肯定，未來也會持續耕耘智慧醫院、遠距健康、長期照護等面向，推動智能 E 化居家照護、擘畫長照生態圈藍圖。
"
https://news.cnyes.com/news/id/4490590?exp=a,2020/06/10 20:04,明泰前董座李中旺稱佳世達敵意併購 函文公平會釋疑,鉅亨網記者彭昱文 台北,"網通廠明泰 (3380-TW) 前董座李中旺今 (10) 日發出聲明，認為佳世達 (2352-TW) 代表人在出任董座後，立即宣布公開收購明泰股票，是否涉及不當之敵意併購，已函請公平會釋疑。
友訊經營權之爭才剛平息，但現在戰火轉至明泰，明泰 12 日將召開股東會，但友訊先前才公告，台鋼董事長王炯棻、律師林文鵬出任友訊在明泰的法人董事代表，李中旺今日又發聲明，動作頻頻也引起市場關注。
以下為李中旺聲明書原文：
109 年度明泰股東會召開在即 (109/6/12)，本人李中旺僅對全體股東、員工及關心明泰發展的社會大眾發表聲明，同時亦函文至公平會央求釋疑。
本人於 4/30 明泰科技股份有限公司 (下稱「明泰公司」) 所召開之董事會中，佳世達科技股份有限公司（下稱「佳世達公司」）方面以臨時動議方式遭無預警解任本人董事長之職，此可能目的及動機經媒體披露，其一為私下與友訊公司前董事長所進行之利益交換，以助其掌控友訊經營權；二者為其可能涉及之敵意併購，強行透過違法無效的明泰公司董事會解任本人的董事長職務，隨即選任佳世達公司代表人擔任明泰公司的董事長後又立即宣布公開收購明泰股票。此舉是否涉及不當之敵意併購，本人已函請公平會釋疑。
本人擔任明泰公司董事長逾 16 年，任內所思所為均以創造全體股東之利益、員工之福址為唯一考量，更期許明泰公司能在國內資通訊產業做出具體貢獻。為了明泰之未來發展，本人於 2018 年與佳世達公司洽商，期雙方合作創造綜效，最終佳世達以最大股東之姿入股明泰。本人也應允佳世達之請，承諾在此任期內繼續為明泰貢獻所長，並穩定公司經營，爾後順利交接予董事會遴選適當之人才。孰不料，佳世達公司為遂己目的，罔顧法理及商道，致紛擾不斷。
然本人疑遭非法解任後，除依法提出申訴救濟，亦時刻關注明泰公司之發展，近日根據媒體報導，傳聞將大量解雇數百名員工，此舉勢必將造成數百個員工的家庭頓失經濟支柱，值此新冠肺炎尚在蔓延而未終結的時局，數百個家庭流離失所必然將造成巨大的社會成本，且根據佳世達公司之公開收購說明書之「收購完成後使被收購公司產生下列人事異動之計畫及內容」中有關員工之說明：「公開收購人目前並無任何於本次公開收購完成後，促使被收購公司員工退休、資遣或調整其職位之具體計畫…」，可知佳世達公司已於公開收購說明書中聲明無資遣明泰公司員工之計畫，卻於發動敵意併購伊始、公開收購期間，即施行裁員之計畫，可徵佳世達公司恐有公開收購說明書不實之違法疑義，盼主管機關明鑑。
本人多次於公開場合表示，權力與名位絕非本人之初心，然社會公平正義與企業所必須承擔之社會責任，無一日敢忘。本人疑遭非法解任一事，尚由司法單位受理調查中，本人聲明屆時將尊重並接受調查結果。惟明泰員工之權益，員工家庭之生計，不能淪為企業間的競爭籌碼。對所謂的大艦隊而言，明泰也許只是一葉扁舟，在過去佳世達入股明泰二年多的時間內，憾未見其艦隊有何領航計畫，明泰仍是憑一己之力，及全體員工之努力，立足於國內網通產業。
艦隊可以啟航，扁舟亦可棄之，然本人必須依法捍衛全體明泰員工權益，也呼籲佳世達經營團隊珍惜公司長年培育之人才，佳世達公司在國內科技產業素為業界所推崇，自應明白科技人才養成之不易。本人值此央求公平會針對公開收購人佳世達公司就主導明泰公司進行大量解雇員工行為之合法性及合理性予以說明，俾保臺灣社會之公益，以及明泰公司及其全體股東之權益。
"
https://news.cnyes.com/news/id/4490582?exp=a,2020/06/10 19:37,我4月底受雇員工數大減3.5萬人 金融海嘯以來最慘,鉅亨網記者王莞甯 台北,"主計總處今 (10) 日公布 4 月底全體受僱員工人數為 792 萬 7000 人，受疫情影響，較上月底續減 3 萬 5000 人或 0.44%，為 2009 年金融海嘯以來最大減幅，其中，住宿及餐飲業、製造業分別減 1 萬 2000 人、7000 人，批發及零售業、藝術娛樂及休閒服務業也減少 6000 人、5000 人。
主計總處說明，4 月全體受僱員工較上月淨減少 3 萬 5000 人，其中，因增僱或召回等原因而進入的人數為 15 萬 2000 人，較上月減少 2 萬 6000 人，又以製造業減少 7000 人最多，專業、科學及技術服務業減少 3000 人次之；因辭職、解僱、退休等原因而退出之人數為 18 萬 7000 人，較上月減少 9000 人。
與去年同期相比，4 月底全體受僱員工人數減少 4000 人或 0.05%。
而前 4 月受僱員工人數平均為 796 萬 5000 人，維持年增 3 萬 5000 人或 0.45%，
從薪資面來看，4 月全體受僱員工經常性薪資平均為 42132 元，年增 0.91%，為近 7 年來同期最低增幅，反映疫情衝擊；加計獎金及加班費等非經常性薪資後，總薪資平均為 48078 元，年增 0.65%。
觀察不同行業別的經常性薪資變動，由於航空運輸業、教育業和其他服務業受疫情衝擊需求降低，因此分別月減 3.30%、1.66%、1.28%。
反觀金融及保險業、電腦電子產品及光學製品製造業、用水供應及污染整治業，因部分廠商於 4 月發放績效獎金及員工酬勞，總薪資分別月增 19.89%、9.95%、9.19%。
前 4 月全體受僱員工經常性薪資平均為 42279 元，年增 1.67%，總薪資年增 0.88%；剔除物價因素後，實質經常性薪資年增 1.50%，實質總薪資年增 0.71%。
"
https://news.cnyes.com/news/id/4490583?exp=a,2020/06/10 19:36,松翰搶宅經濟商機 推支援微軟臉部辨識攝影機晶片,鉅亨網記者魏志豪 台北,"MCU 廠松翰 (5471-TW) 今 (10) 日宣布，因應在家工作等宅經濟需求，公司推出支援微軟 Windows Hello v4.1 臉部識別攝影機晶片 SN9C288 系列，晶片尺寸僅 2mm X 5.5mm，符合筆電窄邊框需求，且具備線上更新軟體、保障資安機制、節能省電等特性，有助影像視訊晶片業績穩健成長。
松翰指出，由於疫情帶動，全球各地居家辦公、遠距教學需求強勁，截至目前為止，影像視訊晶片業績年增幅已高達 119%；此次推出的 SN9C288 高畫質攝影機晶片，則為市場上首顆整合 RGB-IR/TNR/ WDR 技術應用的筆電攝影機晶片
松翰表示，該晶片因應資安需求，搭配 RGB IR 感測器，導入人臉辨識開機的機制，且為提升資安及隱私性，首創 HW privacy 功能，在攝影機端支援硬體影像遮罩功能，使用者在不需要實際影像輸出時，可以用遮罩來避免駭客入侵平台端，取得攝影機端的即時影像資料。
松翰看好，疫情將改變人類生活習慣，遠距工作成為常態性需求，也帶動筆電規格提升，攝影機解碼晶片可望獲客戶採用。
"
https://news.cnyes.com/news/id/4490578?exp=a,2020/06/10 19:21,〈大立光股東會〉下半年展望、建廠進度 五大重點一次看懂,鉅亨網編輯陳于晴,"光學元件廠大立光 (3008-TW) 今 (10) 日召開股東會，通過去年盈餘每股配發 79 元現金股利，改寫台股紀錄，執行長林恩平會後也以視訊方式召開記者會，對於第 3 季、下半年營運展望，林恩平看法保守，但仍希望旺季效應出現。此外，建廠進度及鏡頭發展也成關注焦點，《鉅亨網》整理本次股東會五大重點，讓讀者一文看完快速掌握。
下半年展望保守
大立光上周公布 5 月營收 38.66 億元，月減 17.45%，年減 23.01%，預估 6 月客戶端拉貨動能仍疲弱。對於 7 月接單狀況，林恩平透露，目前處在接受客戶訂單預估狀態，部分手機客戶下修訂單預估數情形嚴重，但也有客戶提出高企圖心的預估數字，第 3 季原先是市場旺季，希望真的有旺季效應出現。
林恩平說，大立光第 3 季訂單正處於變動期，坦言第 3 季和下半年景氣「看不懂」，展望相當保守，且客戶端新產品開發進度也遞延，如今年遞延到明年，明年出貨的新產品則遞延至後年，主要原因來自美國對中國手機廠的禁令及新冠肺炎疫情雙重影響。
台中新廠進度
擴廠進度方面，林恩平表示，大立光首筆在台中工業區內安和段的新廠興建案工程已發包動工，預計將投入約 24 億元進行土木及機電工程。
台中工業區內第二座新廠新建工程，將在今年底前取得建照並動工，這也是大立光 2018 年台中精密機械園區二廠完工以來，再度大興土木擴廠。
林恩平透露，擴廠計畫持續進行中，今年資本支出應該不會調整，如果有非常適合、完美的土地，還是會考慮購買。
中高階鏡頭發展
產品上，林恩平強調，目前客戶端在保守心態下，鏡頭拉貨以中階為主，但大立光 7P、8P 等高階產品持續生產，以提高鏡頭良率為目標，9P 產品在應用上已可達 1 億畫素效果，產品已完成開發，今年底可獲客戶納入產品設計。
其他產品應用
至於車用、醫療產品應用，林恩平表示，台灣防疫做得非常好，但就大立光的光學產品而言，在今年這波新冠肺炎疫情防疫上，並沒有任何產品受惠，目前大立光光學元件已獲美國廠商用在胃鏡、十二指腸鏡及 ClearMind 公司應用為腦內檢測的鏡頭。
布局隱形眼鏡市場
大立光轉投資隱形眼鏡事業星歐光學，日前傳出接獲藥妝龍頭屈臣氏的隱形眼鏡代工訂單，目前已上架銷售。林恩平指出，星歐優勢來自品質，上半年受疫情影響表現不太好，下半年會不會好還不知道，未來只要價格合理，都會積極爭取代工訂單。
"
https://news.cnyes.com/news/id/4490580?exp=a,2020/06/10 19:16,伺服器動能強 華擎5月營收年增近7成 寫歷史新高,鉅亨網記者劉韋廷 台北,"板卡廠華擎 (3515-TW) 今 (10) 日公告 5 月營收，受惠伺服器追單強勁，單月營收衝上 16.52 億元，月增 24.09%、年增 67.35%，創歷史新高紀錄，累計今年前 5 月營收達 65.79 億元，年增 39.59%。
華擎指出，受惠宅經濟發酵，第 2 季伺服器客戶追單強勁，目前產能接近滿載，訂單能見度可到 7、8 月，也看好下半年在英特爾、輝達等新品推出，主板、顯卡需求將再提升，全年展望樂觀，可望逐季成長。
華擎進一步表示，今年四大產品線都可望成長，其中伺服器、顯卡成長幅度最大，伺服器受惠居家辦公、遠距教學商機，連網需求增溫，顯卡則因去年基期較低，成長幅度明顯。
另一方面，華擎表示，主板也因近期個人電腦 DIY 市場需求強勁，預期需求將延續至下半年，工業電腦 (IPC) 則因部分工廠停工，成長幅度有限。
"
